"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context [6]","Context [7]","Context [8]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Item Category","icon","Thumbnail","Published Date","Updated Date","Contributor","Contributor [URI]","Creator","Creator [URI]","Is Referenced By","Is Referenced By [URI]","References","References [URI]","Year","Abbreviation (AKA)","Description"
"Unspecified Sphinx Area 10","http://opencontext.org/subjects/605b485d-50fc-413f-8eed-f039d0de4b5d","https://n2t.net/ark:/28722/k24x5kc20","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","","","","","","https://opencontext.org/subjects/42320550-7bb3-4ca6-6b2f-2768d01b17e1","29.9758087083","31.1343486917","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Color-Photos/022309.jpg","2017-12-23T00:07:04Z","2023-10-04T05:16:32Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","","",""
"Unspecified Sphinx Area 9","http://opencontext.org/subjects/3ccf996f-9b0c-4563-be31-c3446cd2092c","https://n2t.net/ark:/28722/k28k7ks2x","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","","","","","","https://opencontext.org/subjects/42320550-7bb3-4ca6-6b2f-2768d01b17e1","29.9758087083","31.1343486917","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Color-Photos/022044.jpg","2017-12-23T00:07:02Z","2023-10-04T05:16:32Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","","",""
"Sphinx Temple","http://opencontext.org/subjects/1a934b66-8bd6-476e-94c1-fdb51c456aa9","https://n2t.net/ark:/28722/k24177v6v","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Terrace 1","","","","","https://opencontext.org/subjects/f78bbdf1-b014-424c-9ab4-e4fe15859433","29.975288400113854","31.138211901757234","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/BW-Photos/bw02388.jpg","2017-11-14T20:42:54Z","2023-10-04T05:16:28Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","","ST","Stone building east of the Sphinx Ditch, north of the Khafre Valley Temple, on Terrace 1"
"Removal 16","http://opencontext.org/subjects/ad35b768-6ec4-4af5-a4e5-44d10f5ceb00","https://n2t.net/ark:/28722/k2sx6k570","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Terrace 1","Sphinx Temple","ST North Colonnade","","","https://opencontext.org/subjects/78e7b673-8518-4998-8cfd-0da825797b7b","29.975389907733035","31.1382894256835","Trench","https://opencontext.org/static/oc/icons-v2/oc-trench-icon.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings-B/d-st-032.jpg","2017-10-26T00:47:03Z","2023-10-04T05:16:25Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","1979|1980","R16|R16A1|R16A2","R16 was a trench through a mound of deposits left by previous excavations under toppled core block in north colonnade, against the Sphinx Temple northern wall."
"Feature FNWa1","http://opencontext.org/subjects/08f42c23-602f-476d-a65e-4aebba8e907a","https://n2t.net/ark:/28722/k22v2t61q","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northwest","","","https://opencontext.org/subjects/39e6505d-5312-485b-bed4-44f9609e480d","29.975380310025677","31.137304256746678","Feature","https://opencontext.org/static/oc/icons-v2/noun-trowl-foundation-4804020.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-nw-006.jpg","2017-11-14T20:41:52Z","2023-10-04T05:16:19Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","1981","NWa1","Break through masonry, North Hind Paw"
"Sphinx East","http://opencontext.org/subjects/5714b49e-a383-4738-9235-29841bfaaba0","https://n2t.net/ark:/28722/k2j96f59x","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","","","","https://opencontext.org/subjects/63a4ed06-49d2-4980-844b-aefdc5437569","29.975273725183033","31.137882740099254","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-005.jpg","2017-11-14T20:42:48Z","2023-10-04T05:16:26Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","1979|1980|1981|1982|1983","East, E","East of Sphinx statue, between the Sphinx and the Sphinx Temple western wall"
"Sphinx Statue","http://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","https://n2t.net/ark:/28722/k27s7zn9t","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","","","","https://opencontext.org/subjects/63a4ed06-49d2-4980-844b-aefdc5437569","29.97527122463234","31.137695182585286","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/BW-Photos/bw02554.jpg","2017-11-14T20:42:53Z","2023-10-04T05:16:28Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","1979|1980|1981|1982|1983","Sphinx","Sphinx statue proper, lion body and pharaoh s head, bedrock with masonry veneer"
"Unspecified Sphinx Area 1","http://opencontext.org/subjects/60e5d2b8-ad20-43bc-80c4-055b6351052f","https://n2t.net/ark:/28722/k29k4mp44","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","","","","","","https://opencontext.org/subjects/42320550-7bb3-4ca6-6b2f-2768d01b17e1","29.9758087083","31.1343486917","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Color-Photos/004090.jpg","2017-12-23T00:06:49Z","2023-10-04T05:16:30Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","","",""
"Sphinx North","http://opencontext.org/subjects/d3bd4bc7-ff1d-4713-821d-aa02cbb290ff","https://n2t.net/ark:/28722/k2183jz3f","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","","","","https://opencontext.org/subjects/63a4ed06-49d2-4980-844b-aefdc5437569","29.9753402190492","31.137575826035132","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings-B/d-n-020.jpg","2017-11-14T20:42:49Z","2023-10-04T05:16:27Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","1979|1980|1981|1982|1983","North, N","Northern flank of the Sphinx statue and floor of the Sphinx Ditch"
"Khafre Valley Temple","http://opencontext.org/subjects/d8ad9e55-8240-46ad-a2de-43a0e5070c70","https://n2t.net/ark:/28722/k28342t83","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Terrace 1","","","","","https://opencontext.org/subjects/f78bbdf1-b014-424c-9ab4-e4fe15859433","29.974747396517692","31.13826422487956","Area","https://opencontext.org/static/oc/icons-v2/noun-area-ground-1283937.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-kvt-002.jpg","2017-11-14T20:42:26Z","2023-10-04T05:16:23Z","Mark Lehner","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433","Mark Lehner|Megan Flowers|Rebekah Miracle","http://opencontext.org/persons/89a27d8d-c2b5-46c3-8088-5c0842106433|http://opencontext.org/persons/2d511d42-1d44-4215-b01a-eeee6a24552a|http://opencontext.org/persons/18a2a63f-a75f-4049-9f1c-97e0b3f4b445","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","The Archaeology of an Image: The Great Sphinx of Giza. By Mark Lehner (1991), archived in Zenodo","https://doi.org/10.5281/zenodo.1203620","","GII.VT","Stone building northeast of the Sphinx Ditch, south of the Sphinx Temple, on Terrace 1"
